bare ground val_MAE,bare ground val_MAPE,bare ground val_MASE,bare ground val_RMSE,bare ground val_SMAPE,built-up areas val_MAE,built-up areas val_MAPE,built-up areas val_MASE,built-up areas val_RMSE,built-up areas val_SMAPE,crops val_MAE,crops val_MAPE,crops val_MASE,crops val_RMSE,crops val_SMAPE,epoch,flooded vegetation val_MAE,flooded vegetation val_MAPE,flooded vegetation val_MASE,flooded vegetation val_RMSE,flooded vegetation val_SMAPE,grass val_MAE,grass val_MAPE,grass val_MASE,grass val_RMSE,grass val_SMAPE,lr-Adam,shrubs-and-scrubs val_MAE,shrubs-and-scrubs val_MAPE,shrubs-and-scrubs val_MASE,shrubs-and-scrubs val_RMSE,shrubs-and-scrubs val_SMAPE,snow-and-ice val_MAE,snow-and-ice val_MAPE,snow-and-ice val_MASE,snow-and-ice val_RMSE,snow-and-ice val_SMAPE,step,train_loss_epoch,train_loss_step,trees val_MAE,trees val_MAPE,trees val_MASE,trees val_RMSE,trees val_SMAPE,val_loss,water val_MAE,water val_MAPE,water val_MASE,water val_RMSE,water val_SMAPE
7.062796592712402,1.9489426612854004,0.8432283401489258,8.44119644165039,0.7107368111610413,6.890190124511719,4.412508487701416,0.9980122447013855,8.402743339538574,0.7561632394790649,8.461584091186523,3.51029634475708,0.8209695816040039,9.595122337341309,0.7920266389846802,0,7.531504154205322,1.5480273962020874,0.7445467114448547,9.440704345703125,0.7192283272743225,7.998960018157959,5.400958061218262,0.7718266248703003,11.995763778686523,0.8002322912216187,,7.146945476531982,7.725377559661865,0.7805722951889038,8.76072883605957,0.7528713941574097,11.040519714355469,53.728614807128906,0.9623205661773682,15.877216339111328,0.9092762470245361,2,,,8.20230770111084,2.118168354034424,0.7206217646598816,11.370748519897461,0.8099962472915649,37.51307678222656,9.430936813354492,6.453775882720947,0.8215554356575012,12.959973335266113,0.91346675157547
,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2,35.43744659423828,,,,,,,,,,,,
7.110418796539307,1.965513825416565,0.8390424847602844,8.476408958435059,0.7144637107849121,7.209841251373291,4.439979553222656,1.0455567836761475,8.590935707092285,0.7829773426055908,8.286515235900879,3.1890170574188232,0.7985430955886841,9.397226333618164,0.7923997044563293,1,7.747625350952148,1.637944221496582,0.7599937319755554,9.776693344116211,0.7347608804702759,8.208905220031738,5.611754894256592,0.7965173125267029,12.014802932739258,0.8082707524299622,,6.7205915451049805,8.088315963745117,0.7289769053459167,8.65206241607666,0.7139667868614197,10.882685661315918,54.830039978027344,0.9498436450958252,15.615483283996582,0.8923672437667847,5,,,8.353357315063477,2.1423213481903076,0.7344366312026978,11.45649528503418,0.8234935998916626,37.352500915527344,9.487257957458496,6.750763893127441,0.8295586705207825,12.953374862670898,0.916896402835846
,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,35.14944076538086,,,,,,,,,,,,
6.957008361816406,1.920768141746521,0.8224121928215027,8.265890121459961,0.7044973969459534,7.0164899826049805,4.545556545257568,1.0151273012161255,8.563011169433594,0.7638244032859802,8.337163925170898,3.234671115875244,0.813581645488739,9.560975074768066,0.7869516611099243,2,7.712183475494385,1.6214796304702759,0.7627644538879395,9.635065078735352,0.7323946952819824,8.074694633483887,5.4635796546936035,0.7792333960533142,12.017952919006348,0.8040979504585266,,6.753756523132324,7.981839656829834,0.7473081946372986,8.575247764587402,0.7190693616867065,10.981738090515137,48.14192199707031,0.9557272791862488,15.860275268554688,0.9012873768806458,8,,,8.254514694213867,2.1736035346984863,0.7266048789024353,11.38940715789795,0.8136096000671387,37.20637130737305,9.559612274169922,7.683717727661133,0.8363746404647827,12.991354942321777,0.9142928719520569
,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,8,35.07034683227539,,,,,,,,,,,,
6.928286075592041,1.8661397695541382,0.8185447454452515,8.429563522338867,0.7040821313858032,6.9616217613220215,4.35629940032959,1.0090503692626953,8.439247131347656,0.7634760737419128,8.331487655639648,3.1512954235076904,0.8073601722717285,9.56524658203125,0.789799153804779,3,7.744723796844482,1.702199935913086,0.7838264107704163,9.56847858428955,0.7319945096969604,8.017624855041504,5.694302558898926,0.7774284482002258,11.903326034545898,0.7945533990859985,,6.827363014221191,8.074666023254395,0.7331300973892212,8.630407333374023,0.7241789102554321,10.729567527770996,56.64625930786133,0.9395430684089661,15.54243278503418,0.8855915069580078,11,,,8.15069580078125,2.134079933166504,0.7173567414283752,11.230949401855469,0.8050084114074707,37.071475982666016,9.317314147949219,8.089632034301758,0.8148811459541321,12.811912536621094,0.8871387243270874
,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,11,35.009918212890625,,,,,,,,,,,,
6.9705047607421875,1.8607839345932007,0.8260758519172668,8.302789688110352,0.7098664045333862,6.983809471130371,4.365108489990234,1.0228384733200073,8.586133003234863,0.763667106628418,7.957911014556885,3.0854501724243164,0.7876170873641968,9.202557563781738,0.7668470144271851,4,7.690191268920898,1.6427743434906006,0.7560310363769531,9.625712394714355,0.7278373837471008,8.313563346862793,5.957444667816162,0.807299792766571,11.998031616210938,0.8118583559989929,,6.888846397399902,7.794107437133789,0.7518459558486938,8.553702354431152,0.7338194847106934,10.92488956451416,48.28843307495117,0.9525187611579895,15.656046867370605,0.8995698094367981,14,,,8.035888671875,2.085099697113037,0.7119622230529785,11.276342391967773,0.7977350354194641,36.94771194458008,9.599325180053711,7.450411319732666,0.8423625826835632,12.87295150756836,0.9204983115196228
,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,14,34.90795135498047,,,,,,,,,,,,
